n,lambda_n,lambda_n_over_n,half_log_n
431,795.2824913673329,1.8452029962119092,3.0330540450518737
432,797.5250413230958,1.8461227808404996,3.0342127941220554
433,799.7750919397375,1.8470556395836895,3.035368864001245
434,802.0330147127344,1.848002338047775,3.0365222670502026
435,804.2991469477475,1.8489635562017186,3.037673015544342
436,806.5737896748336,1.8499398845753066,3.038821121674517
437,808.8572057461107,1.850931820929315,3.039966597547795
438,811.1496181272792,1.8519397674138793,3.041109455188223
439,813.4512083924134,1.852964028228732,3.0422497065375858
440,815.7621154304203,1.8540048077964097,3.0433873634561532
441,818.0824343704796,1.8550622094568698,3.044522437723423
442,820.4122157326703,1.8561362346892993,3.045654941038849
443,822.7514648088446,1.857226782864209,3.046784885022568
444,825.1001412776405,1.8583336515262174,3.0479122812161124
445,827.4581590563267,1.8594565372052285,3.04903714108312
446,829.8253863909619,1.8605950367510355,3.050159476010032
447,832.2016461851479,1.861748649183776,3.0512792973067846
448,834.5867165664125,1.862916778050028,3.0523966162074925
449,836.9803316880593,1.8640987342718471,3.0535114438711273
450,839.3821827631024,1.865293739473561,3.0546237913821828
451,841.7919193257169,1.8665009297687736,3.0557336697513393
452,844.2091507144584,1.8677193599877397,3.056841089916116
453,846.6334477703665,1.868948008323105,3.057946062741517
454,849.0643447419496,1.8701857813699332,3.059048599020674
455,851.5013413879885,1.8714315195340407,3.060148709475475
456,853.9439052680445,1.8726840027807994,3.0612464047571932
457,856.391474209615,1.873941956695,3.0623416954471026
458,858.843458939916,1.8752040588207772,3.0634345920570927
459,861.2992458694401,1.8764689452493248,3.0645251050302726
460,863.7582000136165,1.8777352174209054,3.0656132447415705
461,866.2196680381751,1.8790014491066704,3.0666990214983243
462,868.6829814131576,1.8802661935349732,3.0677824455408693
463,871.1474596599215,1.8815279906261804,3.068863527043117
464,873.6124136749894,1.8827853742995462,3.0699422761131276
465,876.0771491141536,1.8840368798153841,3.071018702793678
466,878.5409698199118,1.8852810511156906,3.072092817062823
467,881.0031812750456,1.8865164481264358,3.0731646288344487
468,883.4630940649778,1.8877416539849952,3.0742341479588235
469,885.920027331462,1.8889552821566356,3.0753013842231396
470,888.3733122001553,1.8901559834045858,3.076366347352052
471,890.8222951647145,1.8913424525790117,3.077429047008209
472,893.2663414102371,1.8925134351911803,3.0784894927927775
473,895.7048380591206,1.8936677337402126,3.0795476942459663
474,898.1371973227737,1.8948042137611258,3.0806036608475384
475,900.5628595430386,1.8959218095642918,3.0816574020173206
476,902.9812961076965,1.897019529638018,3.08270892711571
477,905.3920122250265,1.8980964616876865,3.0837582454441708
478,907.7945495430547,1.8991517772867252,3.084805366245728
479,910.1884885998704,1.9001847361166397,3.0858502987054575
480,912.5734510922057,1.9011946897754286,3.0868930519509683
481,914.9491019503439,1.90218108513585,3.0879336350528805
482,917.3151512083689,1.9031434672372798,3.0889720570253
483,919.6713556597574,1.9040814816972202,3.090008326826286
484,922.017520289366,1.9049948766309215,3.091042453358316
485,924.3534994739595,1.9058835040700195,3.0920744454687417
486,926.6791979445583,1.9067473208735768,3.093104311950247
487,928.9945715050584,1.90758638912743,3.094132061541295
