x,M_x,abs_M_over_sqrt_x
456,-5,0.2341464528954235
469,-6,0.2770542579237661
482,-4,0.18219500746971076
495,-5,0.22473328748774737
509,-6,0.26594532430676177
524,-3,0.13105560849915568
538,1,0.04311306135592269
553,5,0.21262162778128116
569,5,0.20961090407515925
585,6,0.24806946917841693
601,3,0.12237255246720063
618,-4,0.16090359734182594
636,0,0.0
654,-9,0.3519278491525988
672,-10,0.38575837490522974
691,-9,0.34237613560884006
710,-5,0.18764665626020038
730,-3,0.1110349815296408
751,-3,0.10947155477532401
772,-1,0.035990787537434725
793,0,0.0
816,1,0.03500700210070024
839,-3,0.10357150196395881
862,-2,0.06812027032901716
886,0,0.0
911,-1,0.03313147809612858
937,4,0.13067430407696023
963,3,0.09667364890456637
990,2,0.06356417261637282
1018,0,0.0
1047,-4,0.1236194054430826
1076,-9,0.27436984238236156
1106,-14,0.42096934552698456
1137,-11,0.3262214042233263
1169,-4,0.11699107611482469
1202,-4,0.1153739489075522
1236,-2,0.05688801239885743
1271,1,0.02804963567266072
1306,0,0.0
1343,1,0.027287389727190907
1381,4,0.10763738842034495
1420,12,0.31844693546056513
1459,2,0.052360326949374314
1500,-3,0.07745966692414834
1543,0,0.0
1586,-7,0.1757706863331389
1630,-15,0.3715330534635525
1676,-12,0.29311918124761893
1723,-9,0.2168202649154444
1772,-7,0.16629001835095297
1821,-3,0.07030177361895179
1873,-3,0.06931901230661741
1925,-2,0.04558423058385518
1979,4,0.08991602392939958
2035,3,0.0665026647782209
2092,1,0.021863473472331304
2151,-1,0.021561540911771697
2211,8,0.17013576402364539
2273,5,0.10487459253022628
2337,1,0.020685720094603028
2403,-11,0.22439635583277168
2470,-8,0.16096872731710674
2539,-1,0.01984580179179854
2611,7,0.13699181009159483
2684,4,0.07720914364821829
2759,-15,0.28557185907942506
2837,-25,0.4693646099959738
2916,-17,0.3148148148148148
2998,-5,0.09131753717147313
3083,-6,0.10805988176634505
3169,9,0.1598753064125442
3258,16,0.28031377665473955
3350,16,0.27643789618603526
3444,16,0.2726392706363988
3540,4,0.06722926454528143
3640,-7,0.11602387022306428
3742,-10,0.16347378131669826
3847,-8,0.12898193673999028
3955,-16,0.25441735821641664
4066,-14,0.21955551395673198
4180,-14,0.2165408787114111
4298,-13,0.19829426174042708
4418,-6,0.09026895078977203
4542,-2,0.02967607299954953
4670,-7,0.10243293100033336
4801,8,0.11545802758638622
4936,16,0.22773637692382878
5074,-4,0.05615452524559125
5217,-2,0.027689784596119378
5363,8,0.10924110601308021
5514,9,0.12120181642483333
5669,11,0.1460963805432293
